id,catalog_file,publish,watermark_status,keif_v2_source_path,orb_inliers,match_method,has_equivalent_in_images-watermarked/web
16,keif-aldiafa-event-turkish-pilgrims-affairs-office-alrifadah-qahwaji-exhibition.webp,yes,single_ok,public/images/events/ksa-event-official-ceremony-turkish-pilgrims-office-luxury.webp,987,آلي,yes
17,keif-aldiafa-event-umm-al-qura-university-investment-booth-qahwaji-1.webp,yes,double,public/images/events/corporate-event-qahwa-service-luxury-catering-basma-emaar.webp,1322,آلي,yes
18,keif-aldiafa-event-umm-al-qura-university-investment-booth-qahwaji-2.webp,yes,double,public/images/events/corporate-event-formal-reception-umm-al-qura-university-saudi-hosts.webp,1268,آلي,yes
19,keif-aldiafa-event-75-years-heritage-company-qahwaji-dates-palm-display-1.webp,yes,single_ok,public/images/services/artistic/mobile-table/table-6.webp,502,آلي,yes
20,keif-aldiafa-event-75-years-heritage-company-qahwaji-dates-palm-display-2.webp,yes,double,public/images/events/majlis-traditional-attire-dates-tower-ceremonial-coffee-display.webp,403,آلي,yes
21,keif-aldiafa-event-adidas-hackett-london-store-mirror-photo-booth.webp,yes,single_ok,public/images/services/artistic/photo-booth/photo-booth-1.webp,577,آلي,yes
22,keif-aldiafa-event-ajdal-jeddah-alinma-investment-qahwaji-exhibition.webp,yes,single_ok,public/images/events/outdoor-event-nahda-park-arabic-coffee-formal-reception.webp,955,آلي,yes
23,keif-aldiafa-event-al-amjaad-trading-manufacturing-vip-welcome-qahwajiin.webp,yes,single_ok,public/images/events/formal-reception-saudi-hosts-al-amjaad-office-traditional.webp,952,آلي,yes
24,keif-aldiafa-event-al-borg-diagnostics-labs-qahwaji-dates-coffee-1.webp,yes,double,public/images/services/artistic/mobile-table/table-2.webp,762,آلي,yes
25,keif-aldiafa-event-al-borg-diagnostics-labs-qahwaji-dates-coffee-2.webp,yes,double,public/images/services/artistic/mobile-table/table-4.webp,804,آلي,yes
26,keif-aldiafa-event-al-borg-diagnostics-labs-qahwaji-dates-coffee-3.webp,yes,double,public/images/services/artistic/mobile-table/table-5.webp,833,آلي,yes
27,keif-aldiafa-event-al-miftah-showroom-qahwaji-dallah.webp,yes,single_ok,public/images/events/ksa-event-exhibition-luxury-catering-food-booth-dates-tray.webp,106,آلي,yes
28,keif-aldiafa-event-al-rayyan-al-makkiya-hotels-sadaa-qahwaji-exhibition.webp,yes,double,public/images/events/vip-reception-luxury-catering-millennium-hotels-golden-dallah.webp,1202,آلي,yes
29,keif-aldiafa-event-al-safeer-watania-qahwaji-hostess-exhibition.webp,yes,double,public/images/events/saudi-event-corporate-al-safir-masked-hospitality.webp,614,آلي,yes
30,keif-aldiafa-event-al-wessam-transport-exhibition-booth-qahwaji.webp,yes,double,public/images/events/vip-reception-corporate-event-aljar-marina-qahwa-service.webp,667,آلي,yes
31,keif-aldiafa-event-alinma-kayan-qahwaji-dallah-exhibition.webp,yes,double,public/images/events/saudi-event-conference-catering-bci-counter-ceremonial-coffee.webp,1172,آلي,yes
32,keif-aldiafa-event-almana-medical-group-qahwaji-booth-wide-3.webp,yes,single_ok,public/images/events/saudi-event-vip-reception-arabic-coffee-masked-host-exhibition.webp,1366,آلي,yes
33,keif-aldiafa-event-almana-medical-group-qahwaji-exhibition-1.webp,yes,single_ok,public/images/events/corporate-event-almana-medical-group-arabic-coffee-ceremony.webp,390,آلي,yes
34,keif-aldiafa-event-almana-medical-group-qahwaji-pouring-coffee-2.webp,yes,single_ok,public/images/events/saudi-event-vip-reception-arabic-coffee-masked-host-exhibition.webp,851,آلي,yes
35,keif-aldiafa-event-alrifadah-pilgrims-services-qahwaji-exhibition.webp,yes,double,public/images/events/exhibition-alrifadah-pilgrims-services-arabic-coffee-ceremony.webp,903,آلي,yes
36,keif-aldiafa-event-alwagehat-algharbiya-contracting-qahwaji-dates.webp,yes,double,public/images/events/saudi-event-qahwa-service-hospitality-staff-exhibition-booth.webp,583,آلي,yes
37,keif-aldiafa-event-amak-mining-company-qahwaji-exhibition.webp,yes,single_ok,public/images/events/exhibition-saudi-hosts-amak-minerals-arabic-coffee-ceremony.webp,1010,آلي,yes
38,keif-aldiafa-event-amjad-alsalam-hotels-qahwaji-exhibition.webp,yes,double,public/images/events/exhibition-hospitality-staff-almadina-hotel-resorts-saudi-event.webp,903,آلي,yes
39,keif-aldiafa-event-anjum-hotel-makkah-qahwaji-exhibition.webp,yes,double,public/images/events/royal-protocol-vip-reception-makkah-hotel-towers-majlis.webp,1147,آلي,yes
40,keif-aldiafa-event-basma-emaar-group-umrah-exhibition-qahwaji.webp,yes,double,public/images/events/official-ceremony-hospitality-staff-umm-al-qura-exhibition.webp,1189,آلي,yes
41,keif-aldiafa-event-bci-basic-chemical-industries-qahwaji-dates-exhibition.webp,yes,double,public/images/events/riyadh-event-vip-reception-alinma-booth-ceremonial-coffee.webp,968,آلي,yes
42,keif-aldiafa-event-bolt-jeddah-chamber-exhibition-two-qahwajiin-coffee-dates.webp,yes,single_ok,public/images/events/saudi-event-vip-reception-bolt-exhibition-qahwa-service.webp,708,آلي,yes
43,keif-aldiafa-event-bon-cafe-qahwaji-black-daglah-exhibition.webp,yes,double,public/images/events/qahwa-service-bon-cafe-arabic-coffee-ceremony-corporate.webp,828,آلي,yes
44,keif-aldiafa-event-brunello-cucinelli-de-beers-mall-qahwaji-red-shemagh.webp,yes,double,public/images/events/luxury-catering-foot-locker-sneaker-host-ceremonial.webp,816,آلي,yes
45,keif-aldiafa-event-dallah-albaraka-namaa-qahwaji-exhibition-1.webp,yes,double,public/images/events/corporate-event-hospitality-staff-formal-reception-saudi-hosts.webp,1134,آلي,yes
46,keif-aldiafa-event-dallah-albaraka-qahwaji-exhibition-2.webp,yes,double,public/images/events/ksa-event-exhibition-dallah-albarka-dates-tray-ceremonial.webp,891,آلي,yes
47,keif-aldiafa-event-dallah-albaraka-qahwaji-exhibition-3.webp,yes,double,public/images/events/conference-catering-saudi-hosts-vip-reception-dallah-albaraka.webp,923,آلي,yes
48,keif-aldiafa-event-dallah-albaraka-qahwaji-pouring-coffee-4.webp,yes,double,public/images/events/corporate-event-vip-reception-dallah-albaraka-ceremonial-coffee.webp,512,آلي,yes
49,keif-aldiafa-event-dallah-haj-transport-booth-qahwaji.webp,yes,double,public/images/events/corporate-event-dallah-hajj-transport-ceremonial-coffee.webp,674,آلي,yes
50,keif-aldiafa-event-dallah-taibah-hotel-madinah-qahwaji-exhibition.webp,yes,double,public/images/events/hotel-event-dallah-taibah-luxury-catering-qahwa-service.webp,1039,آلي,yes
51,keif-aldiafa-event-dareen-travel-agency-qahwaji-exhibition.webp,yes,double,public/images/events/saudi-event-conference-catering-dareen-travel-agency-indoor.webp,1116,آلي,yes
52,keif-aldiafa-event-dawood-trading-company-lobby-qahwaji-golden-dallah.webp,yes,single_ok,public/images/events/corporate-event-saudi-host-qahwa-office-reception-traditional.webp,594,آلي,yes
53,keif-aldiafa-event-dragon-city-jeddah-grand-opening-qahwajiin-stage-1.webp,yes,double,public/images/events/indoor-event-new-balance-foot-locker-coffee-booth.webp,1238,آلي,yes
54,keif-aldiafa-event-dragon-city-jeddah-grand-opening-two-qahwajiin-red-carpet-2.webp,yes,double,public/images/events/exhibition-vip-reception-foot-locker-coffee-kiosk.webp,1214,آلي,yes
55,keif-aldiafa-event-flyadeal-airline-booth-qahwaji-arabic-coffee.webp,yes,single_ok,public/images/events/ksa-event-vip-reception-arabic-coffee-flyadeal-corporate.webp,638,آلي,yes
56,keif-aldiafa-event-foot-locker-adidas-red-sea-mall-photo-mirror-customers.webp,yes,double,public/images/services/artistic/photo-booth/photo-booth-3.webp,1184,آلي,yes
57,keif-aldiafa-event-foot-locker-american-eagle-national-day-printed-tote-bags.webp,yes,single_ok,public/images/services/artistic/artist/artist-1.webp,1071,آلي,yes
58,keif-aldiafa-event-foot-locker-new-balance-coffee-kiosk-qahwaji-1.webp,yes,single_ok,public/images/events/official-ceremony-grand-opening-saudi-hosts-red-backdrop.webp,1207,آلي,yes
59,keif-aldiafa-event-foot-locker-new-balance-coffee-kiosk-qahwaji-2.webp,yes,single_ok,public/images/events/government-event-official-ceremony-saudi-hosts-grand-opening.webp,889,آلي,yes
60,keif-aldiafa-event-foot-locker-store-arabic-calligraphy-station.webp,yes,double,public/images/services/artistic/artist/artist-7.webp,1325,آلي,yes
61,keif-aldiafa-event-gaib-furniture-arabic-calligrapher-tote-bag.webp,yes,single_ok,public/images/services/artistic/artist/artist-5.webp,1000,آلي,yes
62,keif-aldiafa-event-gaib-furniture-calligrapher-writing-sarah-tote-2.webp,yes,single_ok,public/images/services/artistic/artist/artist-5.webp,1420,آلي,yes
63,keif-aldiafa-event-glory-of-luxury-dar-alfakhama-booth-qahwaji.webp,yes,single_ok,public/images/events/luxury-catering-saudi-hosts-glory-of-luxury-indoor-event.webp,1181,آلي,yes
64,keif-aldiafa-event-hafil-transport-exhibition-booth-qahwaji.webp,yes,double,public/images/events/ksa-event-exhibition-hafil-pink-luxury-catering.webp,1239,آلي,yes
65,keif-aldiafa-event-hilmuna-al-ghalya-wall-qahwaji-black-daglah.webp,yes,single_ok,public/images/services/male/hosts/dagla/dagla-4.webp,691,آلي,yes
