id,action,width,height,kb,source_keif_v2
231,rebuilt-1-center,675,1200,130,services/artistic/buffet/buffet-3.webp
232,rebuilt-1-center,1080,837,86,equipment/jeddah-luxury-ornate-tea-cup-saucer.webp
233,restored,900,1200,61,
234,restored,720,720,98,
235,rebuilt-1-center,900,1200,190,services/artistic/buffet/buffet-1.webp
236,restored,600,600,19,
237,rebuilt-1-center,1200,801,65,equipment/saudi-hospitality-glass-tea-set-equipment.webp
238,restored,900,1200,166,
239,restored,1000,1000,63,
240,rebuilt-1-center,1200,900,163,services/artistic/heritage-tent/tent-2.webp
241,rebuilt-1-center,280,316,30,services/male/souqiya/souqiya-8.webp
242,rebuilt-1-center,1024,1200,77,dates/stuffed-dates-5.webp
243,rebuilt-1-center,918,1200,77,dates/palm-sukari.webp
244,rebuilt-1-center,1200,900,193,services/artistic/heritage-tent/tent-3.webp
245,rebuilt-1-center,900,1200,44,sandwiches/saudi-catering-turkey-cheese-tomato-long-sandwich.webp
246,restored,500,500,18,
247,restored,900,778,147,
248,rebuilt-1-center,1200,675,122,distributions/riyadh-luxury-hospitality-gift-tray-qahwa-ceremony.webp
249,restored,900,1200,73,
250,rebuilt-1-center,1100,1100,88,snacks/saudi-mini-beef-sliders-cheese-luxury-catering.webp
251,rebuilt-1-center,478,823,93,distributions/ksa-dates-arabic-sweets-gahwa-distribution.webp
252,rebuilt-1-center,900,1200,200,services/artistic/heritage-tent/tent-1.webp
253,restored,736,736,50,
254,rebuilt-1-center,807,632,77,hot-drinks/sahlab.webp
255,rebuilt-1-center,1172,1200,136,hot-drinks/cappuccino.webp
256,rebuilt-1-center,900,1200,48,sandwiches/saudi-catering-tuna-salad-sandwich-long-roll.webp
257,restored,736,752,37,
258,restored,675,1200,149,
259,restored,770,1200,97,
260,rebuilt-1-center,675,1200,215,services/male/sawas/sawas-1.webp
261,rebuilt-1-center,800,1200,162,services/sawas/sawas-main.webp
262,rebuilt-1-center,726,1200,198,services/male/sawas/sawas-2.webp
263,rebuilt-1-center,1200,900,232,services/artistic/folkband/folkband-1.webp
264,restored,828,817,63,
265,rebuilt-1-center,828,1073,53,services/artistic/artist/artist-2.webp
266,restored,828,748,53,
267,rebuilt-1-center,900,1200,219,services/artistic/artist/artist-8.webp
268,rebuilt-1-center,900,1200,166,services/artistic/artist/artist-9.webp
269,restored,1200,900,157,
270,restored,1200,675,158,
271,rebuilt-1-center,880,1200,140,services/sawas/sawas-style-1.webp
272,restored,800,1200,92,
273,rebuilt-1-center,900,1200,155,services/artistic/photo-booth/photo-booth-5.webp
274,rebuilt-1-center,675,1200,177,services/artistic/folkband/folkband-2.webp
275,rebuilt-1-center,880,1200,100,services/sawas/sawas-style-3.webp
276,rebuilt-1-center,867,1200,55,cold-drinks/fresh-juice.webp
277,rebuilt-1-center,889,1200,131,fruits/saudi-red-green-grapes-premium-catering-fruit.webp
278,rebuilt-1-center,1200,799,189,fruits/saudi-fresh-sliced-kiwi-luxury-hospitality-fruit.webp
279,rebuilt-1-center,889,1200,183,fruits/saudi-mixed-berries-bowl-premium-catering-fruit.webp
280,rebuilt-1-center,1200,1179,130,fruits/saudi-fresh-pineapple-slices-premium-catering-fruit.webp
281,rebuilt-nostamp,1137,417,31,services/male/safarjia/safarjia-1.webp
282,rebuilt-nostamp,1200,513,45,services/male/souqiya/souqiya-1.webp
283,restored,1100,1100,140,
284,rebuilt-1-center,736,1103,121,pastry/assorted-pastry.webp
285,rebuilt-1-center,600,600,30,dates/dates-plain.webp
286,rebuilt-1-center,1100,1100,132,snacks/saudi-italian-bruschetta-tomato-basil-luxury-appetizer.webp
287,rebuilt-1-center,900,1200,37,sandwiches/saudi-catering-grilled-chicken-sandwich-lettuce-cheese.webp
288,rebuilt-1-center,736,920,87,sweets/chocolate-croissant.webp
289,rebuilt-1-center,1100,1100,122,snacks/saudi-crispy-chicken-popcorn-bites-honey-mustard.webp
290,rebuilt-1-center,800,1035,62,cold-drinks/tamarind.webp
291,restored,1000,1000,40,
292,rebuilt-1-center,1100,1100,141,snacks/saudi-golden-potato-cheese-croquettes-luxury-catering.webp
293,rebuilt-1-center,500,500,22,cold-drinks/smoothie.webp
294,rebuilt-1-center,575,653,40,pastry/fruit-pie.webp
295,rebuilt-1-center,828,683,45,cold-drinks/sobia.webp
296,rebuilt-1-center,970,646,52,fruits/saudi-fresh-figs-luxury-hospitality-fruit.webp
297,rebuilt-1-center,500,750,33,cold-drinks/iced-latte.webp
298,rebuilt-1-center,735,1099,58,sweets/kunafa.webp
299,rebuilt-1-center,1100,1100,144,snacks/saudi-loaded-nachos-cheese-jalapeno-vip-snacks.webp
300,rebuilt-1-center,720,720,61,pastry/appetizers.webp
301,rebuilt-1-center,1100,1100,128,snacks/saudi-mini-margherita-pizza-luxury-catering-finger-food.webp
302,restored,340,509,23,
303,rebuilt-1-center,1100,1100,108,snacks/saudi-crispy-mozzarella-cheese-sticks-marinara-snacks.webp
304,rebuilt-1-center,1100,1100,98,snacks/saudi-crispy-spring-rolls-sweet-chili-luxury-snacks.webp
305,rebuilt-1-center,969,1024,96,fruits/saudi-fresh-pomegranate-premium-catering-fruit.webp
306,rebuilt-1-center,1100,1100,109,snacks/saudi-crispy-golden-potato-wedges-rosemary-catering.webp
307,rebuilt-1-center,1024,768,54,cold-drinks/karkade.webp
308,rebuilt-1-center,1200,799,47,fruits/saudi-fresh-mango-cubes-luxury-hospitality-fruit.webp
309,rebuilt-1-center,900,1200,35,sandwiches/saudi-catering-turkey-sandwich-soft-roll-tomato.webp
310,rebuilt-1-center,900,1200,41,sandwiches/saudi-catering-smoked-turkey-cheese-tomato-sandwich.webp
311,rebuilt-1-center,900,1200,46,sandwiches/saudi-catering-chicken-cheese-sandwich-long-roll.webp
312,rebuilt-1-center,900,1200,42,sandwiches/saudi-catering-tuna-sandwich-sesame-bun.webp
313,restored,988,1000,65,
314,rebuilt-1-center,1200,900,163,fruits/saudi-fresh-strawberries-luxury-hospitality-fruit.webp
