id,file,action,stamps_before,faces_covered_before,stamps_after,faces,faces_covered_after,logo_width_frac,logo_cx,logo_cy,w,h,kb
230,keif-aldiafa-offering-fatayer-manakish-sesame-croissants-platter.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,720,900,123
231,keif-aldiafa-offering-glass-buffet-black-platters-canapes-croissants-top-view.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,675,1200,130
232,keif-aldiafa-offering-glass-tea-on-decorative-tray.webp,rebuilt-1-center,1,0,1,1,0,0.28,0.5,0.58,1080,837,86
233,keif-aldiafa-offering-gold-accented-tea-glass-and-flower-on-ornate-tray.webp,rebuilt-1-center,1,1,1,1,0,0.34,0.5,0.75,900,1200,64
234,keif-aldiafa-offering-gold-platter-assorted-pistachio-baklava.webp,restored,1,0,1,0,0,,,,720,720,98
235,keif-aldiafa-offering-gold-tiered-stands-mini-pizzas-savory-bites-banquet.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,900,1200,190
236,keif-aldiafa-offering-gold-white-wrapped-chocolates-platter.webp,restored,1,0,1,0,0,,,,600,600,19
237,keif-aldiafa-offering-golden-dallah-dates-finjan-glass-table-bokeh.webp,rebuilt-1-center,1,0,1,0,0,0.28,0.5,0.58,1200,801,65
238,keif-aldiafa-offering-golden-hospitality-counter-rooftop-night-string-lights.webp,rebuilt-1-center,0,0,1,2,0,0.34,0.5,0.61,900,1200,208
239,keif-aldiafa-offering-golden-tray-decorated-dates.webp,restored,1,0,1,0,0,,,,1000,1000,63
240,keif-aldiafa-offering-mini-sadu-tent-station-dallahs-clay-jar-incense-indoor.webp,rebuilt-1-center,1,0,1,0,0,0.28,0.5,0.58,1200,900,163
241,keif-aldiafa-offering-ornate-gold-coffee-service-with-flowers.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,280,316,30
242,keif-aldiafa-offering-oval-tray-dates-with-pistachios-and-coconut.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,1024,1200,77
243,keif-aldiafa-offering-pyramid-of-dates-with-palm-leaves.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,918,1200,77
244,keif-aldiafa-offering-sadu-glass-buffet-booth-guests-self-serve-qahwaji.webp,rebuilt-1-center,1,1,1,4,0,0.28,0.5,0.65,1200,900,194
245,keif-aldiafa-offering-small-sandwich-on-white-plate.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,900,1200,44
246,keif-aldiafa-offering-square-arranged-clustered-box.webp,restored,1,0,1,0,0,,,,500,500,18
247,keif-aldiafa-offering-stuffed-dates-platter-pistachio-sesame-chocolate.webp,restored,1,0,1,1,0,,,,900,778,147
248,keif-aldiafa-offering-table-with-arabic-coffee-and-sweets.webp,rebuilt-1-center,1,0,1,0,0,0.28,0.5,0.58,1200,675,122
249,keif-aldiafa-offering-three-glasses-dark-beverage.webp,rebuilt-1-center,2,0,1,0,0,0.34,0.5,0.61,900,1200,74
250,keif-aldiafa-offering-three-mini-cheeseburgers-on-slate.webp,rebuilt-1-center,1,1,1,1,0,0.34,0.24,0.61,1100,1100,89
251,keif-aldiafa-offering-three-trays-dates-filled-with-nuts.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,478,823,93
252,keif-aldiafa-offering-traditional-sweets-dates-nuts-buffet-villa-courtyard.webp,rebuilt-1-center,1,0,1,3,0,0.34,0.5,0.61,900,1200,200
253,keif-aldiafa-offering-tray-fried-triangular-pastries.webp,restored,1,0,1,0,0,,,,736,736,50
254,keif-aldiafa-offering-tray-of-sahlab-drinks-with-golden-glasses.webp,rebuilt-1-center,1,0,1,0,0,0.28,0.5,0.58,807,632,77
